Periodo;Data;Altura_m
383;2001-10-18;8.32
384;2001-10-19;8.37
385;2001-10-20;8.42
386;2001-10-21;8.53
387;2001-10-22;8.72
388;2001-10-23;8.73
389;2001-10-24;8.74
390;2001-10-25;8.76
391;2001-10-26;8.76
392;2001-10-27;8.74
393;2001-10-28;8.71
394;2001-10-29;8.68
395;2001-10-30;8.66
396;2001-10-31;8.65
397;2001-11-01;8.62
398;2001-11-02;8.60
399;2001-11-03;8.58
400;2001-11-04;8.56
401;2001-11-05;8.60
402;2001-11-06;8.60
403;2001-11-07;8.57
404;2001-11-08;8.55
405;2001-11-09;8.53
406;2001-11-10;8.50
407;2001-11-11;8.48
408;2001-11-12;8.46
409;2001-11-13;8.44
410;2001-11-14;8.42
411;2001-11-15;8.40
412;2001-11-16;8.37
413;2001-11-17;8.35
414;2001-11-18;8.33
415;2001-11-19;8.31
416;2001-11-20;8.29
417;2001-11-21;8.27
418;2001-11-22;8.25
419;2001-11-23;8.23
420;2001-11-24;8.20
421;2001-11-25;8.18
422;2001-11-26;8.16
423;2001-11-27;8.14
424;2001-11-28;8.11
425;2001-11-29;8.09
426;2001-11-30;8.07
427;2001-12-01;8.05
428;2001-12-02;8.04
429;2001-12-03;8.02
430;2001-12-04;8.00
431;2001-12-05;7.99
432;2001-12-06;7.99
433;2001-12-07;8.01
434;2001-12-08;8.01
435;2001-12-09;8.00
436;2001-12-10;8.00
437;2001-12-11;7.99
438;2001-12-12;7.98
439;2001-12-13;7.96
440;2001-12-14;7.95
441;2001-12-15;7.94
442;2001-12-16;7.92
443;2001-12-17;7.91
444;2001-12-18;7.90
445;2001-12-19;7.89
446;2001-12-20;7.88
447;2001-12-21;7.86
448;2001-12-22;7.85
449;2001-12-23;7.84
450;2001-12-24;7.83
451;2001-12-25;7.81
452;2001-12-26;7.81
453;2001-12-27;7.80
454;2001-12-28;7.78
455;2001-12-29;7.77
456;2001-12-30;7.76
457;2001-12-31;7.75
458;2002-01-01;7.78
459;2002-01-02;7.78
460;2002-01-03;7.79
461;2002-01-04;7.77
462;2002-01-05;7.76
463;2002-01-06;7.74
464;2002-01-07;7.73
465;2002-01-08;7.71
466;2002-01-09;7.70
467;2002-01-10;7.68
468;2002-01-11;7.67
469;2002-01-12;7.66
470;2002-01-13;7.65
471;2002-01-14;7.64
472;2002-01-15;7.63
473;2002-01-16;7.62
474;2002-01-17;7.60
475;2002-01-18;7.59
476;2002-01-19;7.57
477;2002-01-20;7.56
478;2002-01-21;7.55
479;2002-01-22;7.53
480;2002-01-23;7.52
481;2002-01-24;7.50
482;2002-01-25;7.49
483;2002-01-26;7.47
484;2002-01-27;7.46
485;2002-01-28;7.45
486;2002-01-29;7.43
487;2002-01-30;7.43
488;2002-01-31;7.41
489;2002-02-01;7.40
490;2002-02-02;7.39
491;2002-02-03;7.37
492;2002-02-04;7.36
493;2002-02-05;7.35
494;2002-02-06;7.33
495;2002-02-07;7.32
496;2002-02-08;7.31
497;2002-02-09;7.31
498;2002-02-10;7.34
499;2002-02-11;7.36
500;2002-02-12;7.35
501;2002-02-13;7.34
502;2002-02-14;7.33
503;2002-02-15;7.33
504;2002-02-16;7.32
505;2002-02-17;7.31
506;2002-02-18;7.30
507;2002-02-19;7.29
508;2002-02-20;7.28
509;2002-02-21;7.28
510;2002-02-22;7.27
511;2002-02-23;7.37
512;2002-02-24;7.38
513;2002-02-25;7.37
514;2002-02-26;7.36
515;2002-02-27;7.36
516;2002-02-28;7.34
517;2002-03-01;7.34
518;2002-03-02;7.34
519;2002-03-03;7.34
520;2002-03-04;7.34
521;2002-03-05;7.33
522;2002-03-06;7.32
523;2002-03-07;7.34
524;2002-03-08;7.36
525;2002-03-09;7.37
526;2002-03-10;7.37
527;2002-03-11;7.37
528;2002-03-12;7.37
529;2002-03-13;7.36
530;2002-03-14;7.36
531;2002-03-15;7.35
532;2002-03-16;7.35
533;2002-03-17;7.34
534;2002-03-18;7.33
535;2002-03-19;7.33
536;2002-03-20;7.32
537;2002-03-21;7.31
538;2002-03-22;7.30
539;2002-03-23;7.29
540;2002-03-24;7.28
541;2002-03-25;7.27
542;2002-03-26;7.27
543;2002-03-27;7.31
544;2002-03-28;7.32
545;2002-03-29;7.31
546;2002-03-30;7.30
547;2002-03-31;7.29
548;2002-04-01;7.26
549;2002-04-02;7.28
550;2002-04-03;7.31
551;2002-04-04;7.30
552;2002-04-05;7.29
553;2002-04-06;7.27
554;2002-04-07;7.25
555;2002-04-08;7.24
556;2002-04-09;7.23
557;2002-04-10;7.22
558;2002-04-11;7.20
559;2002-04-12;7.19
560;2002-04-13;7.18
561;2002-04-14;7.17
562;2002-04-15;7.16
563;2002-04-16;7.15
564;2002-04-17;7.13
565;2002-04-18;7.11
566;2002-04-19;7.10
567;2002-04-20;7.08
568;2002-04-21;7.07
569;2002-04-22;7.05
570;2002-04-23;7.04
571;2002-04-24;7.03
572;2002-04-25;7.01
573;2002-04-26;6.99
574;2002-04-27;6.97
575;2002-04-28;6.95
576;2002-04-29;6.93
577;2002-04-30;6.91
578;2002-05-01;6.89
579;2002-05-02;6.87
580;2002-05-03;6.84
581;2002-05-04;6.82
582;2002-05-05;6.79
583;2002-05-06;6.76
584;2002-05-07;6.73
585;2002-05-08;6.69
586;2002-05-09;6.66
587;2002-05-10;6.62
588;2002-05-11;6.57
589;2002-05-12;6.52
590;2002-05-13;6.48
591;2002-05-14;6.44
592;2002-05-15;6.43
593;2002-05-16;6.47
594;2002-05-17;6.45
595;2002-05-18;6.42
596;2002-05-19;6.52
597;2002-05-20;6.83
598;2002-05-21;6.83
599;2002-05-22;6.87
600;2002-05-23;6.93
601;2002-05-24;6.91
602;2002-05-25;6.89
603;2002-05-26;6.88
604;2002-05-27;6.85
605;2002-05-28;6.86
606;2002-05-29;6.85
607;2002-05-30;6.86
608;2002-05-31;6.91
609;2002-06-01;6.91
610;2002-06-02;6.92
611;2002-06-03;6.92
612;2002-06-04;6.92
613;2002-06-05;6.91
614;2002-06-06;6.92
615;2002-06-07;6.97
616;2002-06-08;7.09
617;2002-06-09;7.08
618;2002-06-10;7.07
619;2002-06-11;7.08
620;2002-06-12;7.10
621;2002-06-13;7.12
622;2002-06-14;7.16
623;2002-06-15;7.29
624;2002-06-16;7.39
625;2002-06-17;7.38
626;2002-06-18;7.36
627;2002-06-19;7.34
628;2002-06-20;7.35
629;2002-06-21;7.45
630;2002-06-22;7.47
631;2002-06-23;7.48
632;2002-06-24;7.53
633;2002-06-25;7.58
634;2002-06-26;7.60
635;2002-06-27;7.59
636;2002-06-28;7.63
637;2002-06-29;7.67
638;2002-06-30;7.65
639;2002-07-01;7.67
640;2002-07-02;7.71
641;2002-07-03;7.72
642;2002-07-04;7.77
643;2002-07-05;7.82
644;2002-07-06;7.79
645;2002-07-07;7.78
646;2002-07-08;7.89
647;2002-07-09;7.96
648;2002-07-10;7.99
649;2002-07-11;8.02
650;2002-07-12;8.03
651;2002-07-13;8.09
652;2002-07-14;8.08
653;2002-07-15;8.06
654;2002-07-16;8.05
655;2002-07-17;8.03
656;2002-07-18;8.06
657;2002-07-19;8.08
658;2002-07-20;8.07
659;2002-07-21;8.04
660;2002-07-22;8.03
661;2002-07-23;8.02
662;2002-07-24;8.01
663;2002-07-25;7.99
664;2002-07-26;7.98
665;2002-07-27;7.97
666;2002-07-28;7.95
667;2002-07-29;7.92
668;2002-07-30;7.90
669;2002-07-31;7.89
670;2002-08-01;7.87
671;2002-08-02;7.86
672;2002-08-03;7.87
673;2002-08-04;7.94
674;2002-08-05;7.93
675;2002-08-06;7.91
676;2002-08-07;7.90
677;2002-08-08;7.91
678;2002-08-09;7.90
679;2002-08-10;7.89
680;2002-08-11;7.88
681;2002-08-12;7.88
682;2002-08-13;7.88
683;2002-08-14;7.87
684;2002-08-15;7.87
685;2002-08-16;7.87
686;2002-08-17;7.86
687;2002-08-18;7.86
688;2002-08-19;7.85
689;2002-08-20;7.84
690;2002-08-21;7.85
691;2002-08-22;7.84
692;2002-08-23;7.84
693;2002-08-24;7.85
694;2002-08-25;7.84
695;2002-08-26;7.83
696;2002-08-27;7.87
697;2002-08-28;7.91
698;2002-08-29;7.92
699;2002-08-30;7.97
700;2002-08-31;8.01
701;2002-09-01;8.06
702;2002-09-02;8.09
703;2002-09-03;8.11
704;2002-09-04;8.15
705;2002-09-05;8.16
706;2002-09-06;8.19
707;2002-09-07;8.18
708;2002-09-08;8.18
709;2002-09-09;8.17
710;2002-09-10;8.17
711;2002-09-11;8.24
712;2002-09-12;8.32
713;2002-09-13;8.31
714;2002-09-14;8.31
715;2002-09-15;8.30
716;2002-09-16;8.29
717;2002-09-17;8.27
718;2002-09-18;8.26
719;2002-09-19;8.26
720;2002-09-20;8.25
721;2002-09-21;8.23
722;2002-09-22;8.21
723;2002-09-23;8.19
724;2002-09-24;8.19
725;2002-09-25;8.21
726;2002-09-26;8.18
727;2002-09-27;8.16
728;2002-09-28;8.17
729;2002-09-29;8.18
730;2002-09-30;8.16
731;2002-10-01;8.17
732;2002-10-02;8.14
733;2002-10-03;8.12
734;2002-10-04;8.10
735;2002-10-05;8.09
736;2002-10-06;8.08
737;2002-10-07;8.06
738;2002-10-08;8.03
739;2002-10-09;8.02
740;2002-10-10;7.99
741;2002-10-11;7.99
742;2002-10-12;8.02
743;2002-10-13;8.00
744;2002-10-14;7.98
745;2002-10-15;7.97
746;2002-10-16;8.06
747;2002-10-17;8.07
748;2002-10-18;8.05
749;2002-10-19;8.03
750;2002-10-20;8.01
751;2002-10-21;8.01
752;2002-10-22;8.00
753;2002-10-23;7.98
754;2002-10-24;7.97
755;2002-10-25;7.95
756;2002-10-26;7.95
757;2002-10-27;7.94
758;2002-10-28;7.92
759;2002-10-29;7.90
760;2002-10-30;7.88
761;2002-10-31;7.87
762;2002-11-01;7.91
763;2002-11-02;7.91
764;2002-11-03;7.90
765;2002-11-04;7.88
766;2002-11-05;7.86
767;2002-11-06;7.85
768;2002-11-07;7.83
769;2002-11-08;7.81
770;2002-11-09;7.78
771;2002-11-10;7.77
772;2002-11-11;7.75
773;2002-11-12;7.73
774;2002-11-13;7.72
775;2002-11-14;7.72
776;2002-11-15;7.69
777;2002-11-16;7.72
778;2002-11-17;7.92
779;2002-11-18;7.93
780;2002-11-19;7.91
781;2002-11-20;7.89
782;2002-11-21;7.88
783;2002-11-22;7.88
784;2002-11-23;7.84
785;2002-11-24;7.84
786;2002-11-25;7.82
787;2002-11-26;7.81
788;2002-11-27;7.79
789;2002-11-28;7.79
790;2002-11-29;7.73
791;2002-11-30;7.73
792;2002-12-01;7.71
793;2002-12-02;7.70
794;2002-12-03;7.68
795;2002-12-04;7.67
796;2002-12-05;7.66
797;2002-12-06;7.66
798;2002-12-07;7.64
799;2002-12-08;7.62
800;2002-12-09;7.66
801;2002-12-10;7.82
802;2002-12-11;7.82
803;2002-12-12;7.82
804;2002-12-13;7.82
805;2002-12-14;7.81
806;2002-12-15;7.79
807;2002-12-16;7.78
808;2002-12-17;7.76
809;2002-12-18;7.74
810;2002-12-19;7.74
811;2002-12-20;7.73
812;2002-12-21;7.71
813;2002-12-22;7.69
814;2002-12-23;7.68
815;2002-12-24;7.67
816;2002-12-25;7.69
817;2002-12-26;7.68
818;2002-12-27;7.67
819;2002-12-28;7.66
820;2002-12-29;7.64
821;2002-12-30;7.64
822;2002-12-31;7.63
823;2003-01-01;7.63
824;2003-01-02;7.63
825;2003-01-03;7.65
826;2003-01-04;7.64
827;2003-01-05;7.63
828;2003-01-06;7.62
829;2003-01-07;7.61
830;2003-01-08;7.60
831;2003-01-09;7.59
832;2003-01-10;7.58
833;2003-01-11;7.57
834;2003-01-12;7.56
835;2003-01-13;7.55
836;2003-01-14;7.56
837;2003-01-15;7.55
838;2003-01-16;7.54
839;2003-01-17;7.54
840;2003-01-18;7.53
841;2003-01-19;7.52
842;2003-01-20;7.51
843;2003-01-21;7.50
844;2003-01-22;7.50
845;2003-01-23;7.49
846;2003-01-24;7.47
847;2003-01-25;7.47
848;2003-01-26;7.46
849;2003-01-27;7.45
850;2003-01-28;7.44
851;2003-01-29;7.43
852;2003-01-30;7.43
853;2003-01-31;7.42
854;2003-02-01;7.42
855;2003-02-02;7.42
856;2003-02-03;7.41
